id	name	hitPoint	luckPoint	price	buyFlg	img	thumbnail	eventId
1	白い靴	0	0	0	0	avatar/b/b01.png	avatar/b/sb01.png	0
2	黒タイツ	10	10	100	1	avatar/b/b020.png	avatar/b/sb020.png	0
3	緑タイツ	10	10	100	1	avatar/b/b021.png	avatar/b/sb021.png	0
4	黄タイツ	10	10	100	1	avatar/b/b022.png	avatar/b/sb022.png	0
5	しましま(黒)	20	20	200	1	avatar/b/b030.png	avatar/b/sb030.png	0
6	しましま(黄)	20	20	200	1	avatar/b/b031.png	avatar/b/sb031.png	0
7	しましま(桃)	20	20	200	1	avatar/b/b032.png	avatar/b/sb032.png	0
8	ブーツ(紫)	30	30	300	1	avatar/b/b040.png	avatar/b/sb040.png	0
9	ブーツ(黒)	30	30	300	1	avatar/b/b041.png	avatar/b/sb041.png	0
10	ブーツ(赤)	30	30	300	1	avatar/b/b042.png	avatar/b/sb042.png	0
11	ダイヤソックス(赤)	40	40	400	1	avatar/b/b050.png	avatar/b/sb050.png	0
12	ダイヤソックス(黒)	40	40	400	1	avatar/b/b051.png	avatar/b/sb051.png	0
13	ダイヤソックス(青)	40	40	400	1	avatar/b/b052.png	avatar/b/sb052.png	0
14	ネコソックス(白)	50	50	500	1	avatar/b/b060.png	avatar/b/sb060.png	0
15	ネコソックス(黒)	50	50	500	1	avatar/b/b061.png	avatar/b/sb061.png	0
16	ネコソックス(赤)	50	50	500	1	avatar/b/b062.png	avatar/b/sb062.png	0
17	草履(青)	60	60	600	1	avatar/b/b070.png	avatar/b/sb070.png	0
18	草履(茶)	60	60	600	1	avatar/b/b071.png	avatar/b/sb071.png	0
19	草履(赤)	60	60	600	1	avatar/b/b072.png	avatar/b/sb072.png	0
