id	name	hitPoint	luckPoint	price	buyFlg	img	thumbnail	battleWords	eventId
1	ノーマル(紫)	0	0	0	0	avatar/c/c010.png	avatar/c/sc010.png	normal	0
2	ノーマル(緑)	0	0	50	1	avatar/c/c011.png	avatar/c/sc011.png	normal	0
3	ノーマル(青)	0	0	50	1	avatar/c/c012.png	avatar/c/sc012.png	normal	0
4	タレ目(緑)	10	10	100	1	avatar/c/c020.png	avatar/c/sc020.png	hawawa	0
5	タレ目(青)	10	10	100	1	avatar/c/c021.png	avatar/c/sc021.png	hawawa	0
6	タレ目(金)	10	10	100	1	avatar/c/c022.png	avatar/c/sc022.png	hawawa	0
7	ツン目(青)	20	20	200	1	avatar/c/c030.png	avatar/c/sc030.png	cat	0
8	ツン目(赤)	20	20	200	1	avatar/c/c031.png	avatar/c/sc031.png	cat	0
9	ツン目(黄)	20	20	200	1	avatar/c/c032.png	avatar/c/sc032.png	cat	0
10	元気目(赤)	30	30	300	1	avatar/c/c040.png	avatar/c/sc040.png	sister	0
11	元気目(青)	30	30	300	1	avatar/c/c041.png	avatar/c/sc041.png	sister	0
12	元気目(緑)	30	30	300	1	avatar/c/c042.png	avatar/c/sc042.png	sister	0
13	ツリ目(黄)	40	40	400	1	avatar/c/c050.png	avatar/c/sc050.png	queen	0
14	ツリ目(紫)	40	40	400	1	avatar/c/c051.png	avatar/c/sc051.png	queen	0
15	ツリ目(赤)	40	40	400	1	avatar/c/c052.png	avatar/c/sc052.png	queen	0
16	おっとり目(金)	50	50	500	1	avatar/c/c060.png	avatar/c/sc060.png	bba	0
17	おっとり目(赤)	50	50	500	1	avatar/c/c061.png	avatar/c/sc061.png	bba	0
18	おっとり目(黄)	50	50	500	1	avatar/c/c062.png	avatar/c/sc062.png	bba	0
99	魔法少女(俺)	66	66	666666	1	avatar/c/c0990.png	avatar/c/sc0990.png	sister	0
100	魔法少女(俺青)	66	66	666666	1	avatar/c/c0991.png	avatar/c/sc0991.png	sister	0
101	魔法少女(俺緑)	66	66	666666	1	avatar/c/c0992.png	avatar/c/sc0992.png	sister	0
