id	type	words
1	encEnm	ふむ、[enemyName]か。おぬしなら楽勝じゃな。
2	winUsr	やっと倒したか。ずいぶん時間がかかったの。
3	winEnm	むぅ、[enemyName]に負けてしまったの。
4	atkUsr	[userName]の攻撃じゃ。
5	atkEnm	[enemyName]の攻撃じゃ。
6	dmgUsr	[enemyName]に[damage]ダメージじゃ。
7	dmgEnm	[userName]に[damage]ダメージじゃ。
8	avdUsr	[userName]は攻撃を回避したのじゃ。
9	avdEnm	[enemyName]は攻撃を回避したのじゃ。
10	advAtk	[userName]、攻撃するのじゃ。
11	advDef	[userName]、防御するのじゃ。
12	advAvd	[userName]、回避するのじゃ。
13	itmUse	[userName]、「[itemName]」を使用するのじゃ。
14	itmRcv	[userName]のHPが[recover]回復したのじゃ。
15	itmAtk	戦闘中、[userName]の攻撃力が[value]倍じゃ。
16	itmDef	戦闘中、[userName]の防御力が[value]倍じゃ。
17	itmAvd	戦闘中、[userName]の回避力が[value]倍じゃ。
18	sklUse	[userName]はスキル「[skillName]」を使うのじゃ
19	skl01S	[userName]は[enemyName]に[damage]ダメージを与えたのじゃ。
20	skl01F	[enemyName]は[skillName]を避けられたのじゃ。
21	skl02S	[userName]の攻撃力が次のターンまで2倍じゃ。
22	skl02F	スキル「[skillName]」は失敗じゃ。
23	skl03S	[enemyName]は即死じゃ。
24	skl03F	スキル「[skillName]」は失敗じゃ。
25	skl04S	[itemName]を[count]盗んだのじゃ。
26	skl04F	スキル「[skillName]」は失敗じゃ。
27	skl05S	ふむ、[enemyName]に[damage]ダメージを与え、さらにHPを[recover]吸収したか。
28	skl05F	なんじゃ、「[skillName]」もまともに使えんのか。
