id	type	words
1	encEnm	[enemyName]が現れたのにゃ！
2	winUsr	やったにゃ！[enemyName]を倒したにゃ！
3	winEnm	[enemyName]に倒されちゃったにゃ・・・
4	atkUsr	[userName]の攻撃にゃん。
5	atkEnm	気を付けてにゃ！[enemyName]が攻撃してくるにゃ！
6	dmgUsr	[enemyName]に[damage]ダメージ与えたにゃん。
7	dmgEnm	[userName]大丈夫にゃ？[enemyName]から[damage]のダメージにゃ。
8	avdUsr	[userName]、ナイス回避にゃ！
9	avdEnm	うにゅー・・・。[enemyName]に回避されたにゃん。
10	advAtk	[userName]！攻撃重視で行くにゃん！
11	advDef	[userName]！防御を固めるにゃん！
12	advAvd	[userName]！[enemyName]の攻撃を見極めるにゃん！
13	itmUse	[userName]！今「[itemName]」を使うにゃ！
14	itmRcv	HPが[recover]回復したにゃ。
15	itmAtk	戦闘中、攻撃力が[value]倍にゃ！
16	itmDef	戦闘中、防御力が[value]倍にゃ！
17	itmAvd	戦闘中、回避力が[value]倍にゃ！
18	sklUse	今にゃ！スキル「[skillName]」を使うにゃ！
19	skl01S	いい[skillName]にゃ！[enemyName]に[damage]ダメージを与えたにゃ！
20	skl01F	そんにゃ！[skillName]を回避されるにゃんて・・・
21	skl02S	今は我慢の時にゃ。次のターンは攻撃力が2倍にゃ。
22	skl02F	そんにゃ！[skillName]が失敗するにゃんて・・・
23	skl03S	[enemyName]にクリティカルヒットにゃ！
24	skl03F	そんにゃ！[skillName]が失敗するにゃんて・・・
25	skl04S	にゅふふ・・・。[itemName]を[count]盗んだにゃ。
26	skl04F	そんにゃ！[skillName]が失敗するにゃんて・・・
27	skl05S	ニャッハー！[damage]ダメージにゃ。HPを[recover]吸収にゃ。
28	skl05F	にゃんと！「[skillName]」が失敗したのにゃ。
