id	type	words
1	encEnm	はわわっ！[enemyName]なのです！
2	winUsr	やったのです！[enemyName]を倒したのです！
3	winEnm	はわわ・・・。[enemyName]に倒されてしまったのです。
4	atkUsr	[userName]の攻撃なのです。
5	atkEnm	[enemyName]が攻撃してくるのです！
6	dmgUsr	[enemyName]に[damage]ダメージを与えたのです。
7	dmgEnm	はわわ、[userName]大丈夫なのです？[enemyName]から[damage]のダメージなのです。
8	avdUsr	やったのです！[enemyName]の攻撃を回避したのです！
9	avdEnm	はわわっ・・・。[enemyName]に攻撃を回避されちゃったのです。
10	advAtk	[userName]の本気を見るのです！
11	advDef	[userName]、今は耐えるのです。
12	advAvd	衝突とか、気を付けるのです。
13	itmUse	[itemName]装填です！
14	itmRcv	HPが[recover]回復したのです。
15	itmAtk	ちょっと力が強くなったみたい。戦闘中、攻撃力が[value]倍なのです。
16	itmDef	ちょっと体が硬くなったみたい。戦闘中、防御力が[value]倍なのです。
17	itmAvd	ちょっと体が軽くなったみたい。戦闘中、回避力が[value]倍なのです。
18	sklUse	[userName]の[skillName]を見るのです！
19	skl01S	[enemyName]に[damage]ダメージを与えたのです！
20	skl01F	はわわっ・・・。[skillName]を回避されちゃったのです。
21	skl02S	今は我慢なのです。次のターンは攻撃力が2倍なのです！
22	skl02F	はわわっ・・・。[skillName]が失敗しちゃったのです。
23	skl03S	はわわっ！一撃なのです！
24	skl03F	はわわっ・・・。[skillName]が失敗しちゃったのです。
25	skl04S	[itemName]を[count]盗んだのです。なんかいけないことしてる気分になるのです。
26	skl04F	はわわっ・・・。[skillName]が失敗しちゃったのです。
27	skl05S	[enemyName]に[damage]のダメージです。HPも[recover]回復なのです。
28	skl05F	はわわっ・・・。「[skillName]」が不発だったのです。
