id	type	words
1	encEnm	[enemyName]が現れました！
2	winUsr	[enemyName]を”私が”倒しました。
3	winEnm	あら、[enemyName]に倒されてしまいましたか。
4	atkUsr	ご主じ・・・私の攻撃。
5	atkEnm	[enemyName]の攻撃です。
6	dmgUsr	私は[enemyName]に[damage]ダメージを与えました。
7	dmgEnm	[enemyName]はご主人様に[damage]ダメージを与えた。
8	avdUsr	ご主人様は攻撃を回避した。
9	avdEnm	[enemyName]は攻撃を回避した。
10	advAtk	ご主人様、攻撃しましょう。
11	advDef	ご主人様、ここはガードしましょう。
12	advAvd	ご主人様、避けないでください。
13	itmUse	ご主人様、アイテム「[itemName]」を使用します。
14	itmRcv	ご主人様のHPが[recover]回復しました。
15	itmAtk	戦闘中、ご主人様の攻撃力が[value]倍です。
16	itmDef	戦闘中、ご主人様の防御力が[value]倍です。
17	itmAvd	戦闘中、ご主人様の回避力が[value]倍です。
18	sklUse	スキル「[skillName]」を使いましょう。
19	skl01S	ご主じ・・・私が[enemyName]に[damage]ダメージを与えた。
20	skl01F	避けられてしまいましたか。
21	skl02S	ご主人様の攻撃力が次のターンまで2倍。
22	skl02F	スキル「[skillName]」は失敗しました。
23	skl03S	とどめは任せてください。やりました！　[enemyName]は即死しました。
24	skl03F	スキル「[skillName]」は失敗しました。どんくさいですね。
25	skl04S	[itemName]を[count]もらいました。
26	skl04F	スキル「[skillName]」は失敗してしまいました。
27	skl05S	ご主人様は[enemyName]に[damage]ダメージを与えて、私が[recover]のHPを吸収しました。
28	skl05F	スキル「[skillName]」は失敗です。私のHPが...。
