id	type	words
1	encEnm	たぬきなのん！？　なんだ、[enemyName]なのん。
2	winUsr	[enemyName]をやっつけたのん。
3	winEnm	もう戦えないのん？
4	atkUsr	[userName]の攻撃なのん。
5	atkEnm	[enemyName]の攻撃なのん。
6	dmgUsr	[userName]は[enemyName]に[damage]ダメージを与えたのん。
7	dmgEnm	[enemyName]は[userName]に[damage]ダメージを与えたのん。
8	avdUsr	[userName]は攻撃を回避したのん。
9	avdEnm	[enemyName]は攻撃を回避したのん。
10	advAtk	[userName]、ガンガン攻撃するのん！
11	advDef	[userName]、守りを固めるのん！
12	advAvd	[userName]、避けるのん！
13	itmUse	[userName]はアイテム「[itemName]」を使ったのん。
14	itmRcv	[userName]のHPが[recover]回復したのん。
15	itmAtk	戦闘中、[userName]の攻撃力が[value]倍になるのん。
16	itmDef	戦闘中、[userName]の防御力が[value]倍になるのん。
17	itmAvd	戦闘中、[userName]の回避力が[value]倍になるのん。
18	sklUse	[userName]は「[skillName]」したのん。
19	skl01S	[userName]は[enemyName]に[damage]ダメージを与えたのん。
20	skl01F	[skillName]を避けられたのん。まぬけなのなー。
21	skl02S	[userName]の攻撃力が次のターンまで2倍なのん。
22	skl02F	スキル「[skillName]」は失敗したのん。
23	skl03S	[enemyName]をやっつけたのん。
24	skl03F	スキル「[skillName]」は失敗したのん。
25	skl04S	[itemName]を[count]盗んだのん。
26	skl04F	スキル「[skillName]」は失敗したのん。
27	skl05S	[enemyName]に[damage]ダメージを与えたのん。HPを[recover]回復したのん。
28	skl05F	「[skillName]」は失敗したのん。
