id	type	words
1	encEnm	[enemyName]が現れたよ！
2	winUsr	やったね！[enemyName]を倒したよ！
3	winEnm	ああ・・・[enemyName]に倒されちゃった。
4	atkUsr	[userName]の攻撃だよ。
5	atkEnm	[enemyName]が攻撃してくるよ！
6	dmgUsr	[enemyName]に[damage]ダメージを与えたよ。
7	dmgEnm	[userName]大丈夫？[enemyName]から[damage]のダメージだよ。
8	avdUsr	やったあ！[enemyName]の攻撃を回避したよ。
9	avdEnm	あらら。[enemyName]に攻撃を回避されちゃったよ。
10	advAtk	[userName]！攻撃重視でいこ！
11	advDef	[userName]！防御を固めて！
12	advAvd	[userName]！[enemyName]の攻撃を見極めて！
13	itmUse	[userName]！今[itemName]を使うよ。
14	itmRcv	HPが[recover]回復したよ。
15	itmAtk	戦闘中、攻撃力が[value]倍だよ！
16	itmDef	戦闘中、防御力が[value]倍だよ！
17	itmAvd	戦闘中、回避力が[value]倍だよ！
18	sklUse	今だよ！スキル「[skillName]」を使って！
19	skl01S	いい[skillName]だね！[enemyName]に[damage]ダメージを与えたよ！
20	skl01F	あらら。[skillName]を回避されちゃったよ。
21	skl02S	今は我慢の時だよ。次のターンは攻撃力が2倍だよ！
22	skl02F	あらら[skillName]が失敗しちゃったね。
23	skl03S	やったあ！[skillName]が[enemyName]にクリティカルヒットだよ！
24	skl03F	あらら。[skillName]が失敗しちゃったね。
25	skl04S	[itemName]を[count]盗めたよ。
26	skl04F	あらら。[skillName]が失敗しちゃったね。
27	skl05S	やった！[enemyName]に[damage]ダメージを与えて、HPを[recover]吸収したよ。
28	skl05F	あらら。「[skillName]」は失敗しちゃったよ。
