id	type	words
1	encEnm	[enemyName]が現れましたわ！
2	winUsr	さすが私の[userName]、[enemyName]を倒しましたわ。
3	winEnm	[enemyName]なんかに倒されるなんて！後でお仕置きですわよ！
4	atkUsr	[userName]！[enemyName]を攻撃ですわよ！
5	atkEnm	[enemyName]が攻撃してきますわ。
6	dmgUsr	今のはいい攻めでしたわ。[enemyName]に[damage]ダメージ与えましたわ。
7	dmgEnm	[enemyName]なんかに[damage]ダメージも食らうなんて、後でわかってますわよね？
8	avdUsr	へぇ、[userName]、回避したのですわね。
9	avdEnm	[enemyName]のくせに回避するなんて生意気ですわ。
10	advAtk	[userName]！とにかく攻撃ですわ！
11	advDef	お仕置きされて喜ぶような[userName]なら防御でもしてればいいのですわ。
12	advAvd	避けることが好きなんて、[userName]、それでも私のパートナーですの？
13	itmUse	お薬がほしいのですわね？ほうら「[itemName]」ですわよ。
14	itmRcv	HPが[recover]回復しましたわ。これでまだ戦えるでしょう？
15	itmAtk	戦闘中、攻撃力が[value]倍ですわ。これで[enemyName]をけちらしなさい！
16	itmDef	戦闘中、防御力が[value]倍ですわ。亀みたいにひきこもるのがお好きなのかしら？
17	itmAvd	戦闘中、回避力が[value]倍ですわ。避けてばかりじゃ面白くないですわ。
18	sklUse	行きなさい[userName]。[skillName]ですわ！
19	skl01S	今のはいい攻めでしたわ。[enemyName]に[damage]ダメージ与えましたわ。
20	skl01F	[enemyName]のくせに回避するなんて生意気ですわ。
21	skl02S	攻撃力が次のターンまで2倍ですわ。さあ蹂躙しなさい！
22	skl02F	スキル「[skillName]」が失敗するなんて[userName]はどうしようもないわね。
23	skl03S	一撃で[enemyName]を刈り取るなんて面白くないですわね。
24	skl03F	あらあら、スキル「[skillName]」は失敗ですわね。
25	skl04S	いい子ね[userName]。私のために[itemName]を[count]盗んでくるなんて。
26	skl04F	何をやっているのです！ちゃんと私に貢ぐのですわ！
27	skl05S	やりますわね。[enemyName]に[damage]ダメージ、[recover]吸収のおまけつきですわ！。
28	skl05F	「[skillName]」は失敗するなんて...。帰ったらお仕置きですわ！
