id	type	words
1	encEnm	お兄ちゃん、[enemyName]だよ！
2	winUsr	やったねお兄ちゃん！[enemyName]を倒したよ！
3	winEnm	[enemyName]に倒されちゃったよ・・・。お兄ちゃん待ってて、今手当てするから。
4	atkUsr	やっちゃえお兄ちゃん！[enemyName]に攻撃だよ！
5	atkEnm	気を付けてお兄ちゃん！[enemyName]が攻撃してくるよ！
6	dmgUsr	お兄ちゃん、[enemyName]に[damage]ダメージ与えたみたいだよ。
7	dmgEnm	きゃあ！[damage]ダメージ食らったけどお兄ちゃん大丈夫？
8	avdUsr	危ないお兄ちゃん！あ、よかったあ。回避したんだね。
9	avdEnm	ぐぬぬ、[enemyName]め。お兄ちゃんの攻撃を回避するなんて。
10	advAtk	やっちゃえお兄ちゃん！[enemyName]なんて倒しちゃえ！
11	advDef	お兄ちゃん、今は耐える時だよ。
12	advAvd	ワン・ツー・スリーで回避だよお兄ちゃん！え？それは違うって？
13	itmUse	大丈夫お兄ちゃん？今[itemName]を使うね。
14	itmRcv	お兄ちゃんのHPが[recover]回復したよ。
15	itmAtk	戦闘中、お兄ちゃんの攻撃力が[value]倍だよ！
16	itmDef	戦闘中、お兄ちゃんの防御力が[value]倍だよ！
17	itmAvd	戦闘中、お兄ちゃんの回避力が[value]倍だよ！
18	sklUse	今だよお兄ちゃん！スキル「[skillName]」を使って！
19	skl01S	[enemyName]に[damage]ダメージも与えたよ！反動に気を付けてねお兄ちゃん。
20	skl01F	ああ！お兄ちゃんの渾身の一撃[enemyName]に回避されちゃった・・・。
21	skl02S	お兄ちゃん、次のターンは攻撃力2倍だから少しの辛抱だよ。
22	skl02F	スキル「[skillName]」失敗しちゃった・・・。ドンマイだよお兄ちゃん。
23	skl03S	わわわ！お兄ちゃんすごい！[enemyName]が真っ二つだよ！
24	skl03F	スキル「[skillName]」失敗しちゃった・・・。ドンマイだよお兄ちゃん。
25	skl04S	お兄ちゃんすごーい！[itemName]を[count]盗んじゃったよ！
26	skl04F	スキル「[skillName]」失敗しちゃった・・・。ドンマイだよお兄ちゃん。
27	skl05S	やったねお兄ちゃん！[damage]ダメージを与えて、HPも[recover]回復したよ。
28	skl05F	ややっ、「[skillName]」が失敗しちゃった。でもあきらめないで！
