id	type	words
1	encEnm	[enemyName]が現れた！
2	winUsr	[enemyName]を倒しました。
3	winEnm	[enemyName]に倒されました。
4	atkUsr	[userName]の攻撃。
5	atkEnm	[enemyName]の攻撃。
6	dmgUsr	[userName]は[enemyName]に[damage]ダメージを与えた。
7	dmgEnm	[enemyName]は[userName]に[damage]ダメージを与えた。
8	avdUsr	[userName]は攻撃を回避した。
9	avdEnm	[enemyName]は攻撃を回避した。
10	advAtk	[userName]の攻撃助言。
11	advDef	[userName]の防御助言。
12	advAvd	[userName]の回避助言。
13	itmUse	[userName]はアイテム「[itemName]」を使用。
14	itmRcv	[userName]のHPが[recover]回復。
15	itmAtk	戦闘中、[userName]の攻撃力が[value]倍。
16	itmDef	戦闘中、[userName]の防御力が[value]倍。
17	itmAvd	戦闘中、[userName]の回避力が[value]倍。
18	sklUse	[userName]はスキル「[skillName]」を使用。
19	skl01S	[userName]は[enemyName]に[damage]ダメージを与えた。
20	skl01F	[enemyName]は[skillName]を回避した。
21	skl02S	[userName]の攻撃力が次のターンまで2倍。
22	skl02F	スキル「[skillName]」は失敗しました。
23	skl03S	[enemyName]は即死しました。
24	skl03F	スキル「[skillName]」は失敗しました。
25	skl04S	[itemName]を[count]盗んだ。
26	skl04F	スキル「[skillName]」は失敗しました。
27	skl05S	[userName]は[enemyName]に[damage]ダメージを与えて、[recover]吸収しました。
28	skl05F	スキル「[skillName]」は失敗しました。
